time,body_idx,position_vec,force_vec
0.0,BodyIndex(3),"[0.00833, -0.025, 0.0]","[0.0, -0.0, -0.0]"
0.0,BodyIndex(3),"[0.02499, -0.025, 0.0]","[0.0, -0.0, -0.0]"
0.05,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-1.0919117772228073e-05, 5.5423235680106e-05, 4.5924390513289566e-07]"
0.05,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-6.788508156959676e-05, 0.00034457095833917835, 2.855158320535751e-06]"
0.1,BodyIndex(3),"[0.00833, -0.025, 0.0]","[1.384571331219148e-05, -8.896630827163318e-05, -2.6447996680853446e-08]"
0.1,BodyIndex(3),"[0.02499, -0.025, 0.0]","[6.853530094142597e-05, -0.0004403769292027163, -1.3091571166825112e-07]"
0.15000000000000002,BodyIndex(3),"[0.00833, -0.025, 0.0]","[7.631200480720632e-05, 0.0001612026341401241, -1.6063905005692329e-06]"
0.15000000000000002,BodyIndex(3),"[0.02499, -0.025, 0.0]","[0.00017153930769547103, 0.0003623622302800764, -3.610953676979086e-06]"
0.2,BodyIndex(3),"[0.00833, -0.025, 0.0]","[1.9635637698857672e-06, -3.1757429582265984e-06, -4.589702179733506e-08]"
0.2,BodyIndex(3),"[0.02499, -0.025, 0.0]","[2.03542746812837e-06, -3.2919707258938256e-06, -4.757678884909205e-08]"
0.25,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-4.22381268324221e-05, -8.854053887687776e-05, 1.1523539837129483e-06]"
0.25,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-0.00011667025557697113, -0.0002445668895467852, 3.1830349467990576e-06]"
0.30000000000000004,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-9.95447405388915e-06, 6.178445391620718e-05, 4.76495041517184e-07]"
0.30000000000000004,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-6.024160590940425e-05, 0.00037390169525769587, 2.8836105607858424e-06]"
0.35000000000000003,BodyIndex(3),"[0.00833, -0.025, 0.0]","[1.4882932361383018e-05, -7.765437488083423e-05, -1.1088403564040292e-07]"
0.35000000000000003,BodyIndex(3),"[0.02499, -0.025, 0.0]","[7.677894261549975e-05, -0.0004006079345148639, -5.720350534885043e-07]"
